mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_max_leaf_nodes,param_max_depth,param_max_bins,param_learning_rate,param_l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.285775979359944,0.08204399063184703,0.6448368231455485,0.02153694324029419,5,31,,255,0.1269,0.0001,"{'min_samples_leaf': 5, 'max_leaf_nodes': 31, 'max_depth': None, 'max_bins': 255, 'learning_rate': np.float64(0.1269), 'l2_regularization': 0.0001}",0.8139963264624479,0.8139135567914926,0.8132697452167623,0.8137265428235677,0.00032476734728601007,17
4.082117319107056,0.03821986265646244,0.5861770311991373,0.030350557348685435,5,31,10,255,0.1804,0.0001,"{'min_samples_leaf': 5, 'max_leaf_nodes': 31, 'max_depth': 10, 'max_bins': 255, 'learning_rate': np.float64(0.1804), 'l2_regularization': 0.0001}",0.8159761367253971,0.816127257357079,0.815362457831768,0.8158219506380814,0.0003307159814909793,15
2.496408541997274,0.034730709615938826,0.4483501116434733,0.027036801542172455,10,,3,255,0.1804,0.0,"{'min_samples_leaf': 10, 'max_leaf_nodes': None, 'max_depth': 3, 'max_bins': 255, 'learning_rate': np.float64(0.1804), 'l2_regularization': 0.0}",0.7966564901074076,0.7969459741166134,0.7958968701697018,0.796499778131241,0.00044239782659345533,34
2.891979535420736,0.040965662214403106,0.5146628220876058,0.004846665102138193,5,31,4,255,0.149,0.001,"{'min_samples_leaf': 5, 'max_leaf_nodes': 31, 'max_depth': 4, 'max_bins': 255, 'learning_rate': np.float64(0.149), 'l2_regularization': 0.001}",0.8032998800313882,0.8041205334827276,0.8026658068478583,0.8033620734539912,0.0005955156935580517,30
5.164063294728597,0.1934033927474973,0.7176878452301025,0.024016039111299913,5,127,7,128,0.0716,0.0001,"{'min_samples_leaf': 5, 'max_leaf_nodes': 127, 'max_depth': 7, 'max_bins': 128, 'learning_rate': np.float64(0.0716), 'l2_regularization': 0.0001}",0.8129957002269548,0.8134510399170394,0.8125388766797528,0.8129952056079156,0.0003723892464883917,20
0.0868364969889323,0.0034616237343751675,0.0,0.0,50,127,10,512,0.0388,0.01,"{'min_samples_leaf': 50, 'max_leaf_nodes': 127, 'max_depth': 10, 'max_bins': 512, 'learning_rate': np.float64(0.0388), 'l2_regularization': 0.01}",,,,,,44
13.63642406463623,0.5034007109171424,0.9631108442942301,0.0028296430765905084,50,511,12,128,0.0208,0.0001,"{'min_samples_leaf': 50, 'max_leaf_nodes': 511, 'max_depth': 12, 'max_bins': 128, 'learning_rate': np.float64(0.0208), 'l2_regularization': 0.0001}",0.8106269920607472,0.8110663818787306,0.809463411996149,0.8103855953118755,0.0006763048641405355,25
0.09036970138549805,0.002530360323589789,0.0,0.0,20,127,5,512,0.033,0.01,"{'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_depth': 5, 'max_bins': 512, 'learning_rate': np.float64(0.033), 'l2_regularization': 0.01}",,,,,,44
0.09600083033243816,0.005390640784670388,0.0,0.0,50,255,7,512,0.0388,0.01,"{'min_samples_leaf': 50, 'max_leaf_nodes': 255, 'max_depth': 7, 'max_bins': 512, 'learning_rate': np.float64(0.0388), 'l2_regularization': 0.01}",,,,,,44
0.09705734252929688,0.0038234199743999928,0.0,0.0,20,127,5,512,0.0363,0.0,"{'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_depth': 5, 'max_bins': 512, 'learning_rate': np.float64(0.0363), 'l2_regularization': 0.0}",,,,,,44
