family,family_short,f1_thrOPT_raw,f1_thrOPT_imp,f1_thrOPT_delta,roc_auc_raw,roc_auc_imp,roc_auc_delta,recall_thr0.5_raw,recall_thr0.5_imp,recall_thr0.5_delta,pr_auc_raw,pr_auc_imp,pr_auc_delta,f1_thr0.5_raw,f1_thr0.5_imp,f1_thr0.5_delta,recall_thrOPT_raw,recall_thrOPT_imp,recall_thrOPT_delta
Logistic_Regression,LR,,0.6743935651402876,,0.6838946030923445,0.6839315834002664,3.6980307921874456e-05,0.741953560508791,0.6641132147739205,-0.07784034573487053,0.6835247844352401,0.6838555696026682,0.000330785167428127,0.6868022037807293,0.6599904652480794,-0.026811738532649954,,0.7031678212231475,
decision_tree,DT,,0.7251527306656393,,0.6678599437611306,0.7940450921385784,0.12618514837744788,0.6786103435556314,0.732679058455495,0.054068714899863535,0.6389650832908801,0.8098638975379824,0.1708988142471023,0.68453803872009,0.7332414392129836,0.04870340049289357,,0.7049630991610402,
gradient_boosting,GBC,,0.7590256436835116,,0.7900816881558796,0.8295231033769399,0.03944141522106026,0.7420403527159829,0.7685468814710902,0.026506528755107284,0.8081935226111602,0.8443702348992972,0.036176712288137014,0.7332548089942841,0.7630811482438808,0.029826339249596767,,0.752969567067263,
