family,variant,slot,results_dir,roc_auc,pr_auc,threshold_opt,n_eval,n_pos,n_neg,fit_time,predict_time,total_time,accuracy_thr0.5,precision_thr0.5,recall_thr0.5,f1_thr0.5,accuracy_thrOPT,precision_thrOPT,recall_thrOPT,f1_thrOPT
decision_tree,raw,,C:\Projects\U\Pro_fin3\Models\decision_tree\raw\results,0.6678599437611306,0.6389650832908801,,,,,662.822,,677.148,0.668505,0.6905702038602403,0.6786103435556314,0.68453803872009,,,,
decision_tree,improved,,C:\Projects\U\Pro_fin3\Models\decision_tree\improved\results,0.7940450921385784,0.8098638975379824,0.5290519877675841,,,,383.985,,960.289,0.717452,0.7338046839642207,0.732679058455495,0.7332414392129836,0.7167725,0.7465328908327655,0.7049630991610402,0.7251527306656393
gradient_boosting,raw,,C:\Projects\U\Pro_fin3\Models\gradient_boosting\raw\results,0.7900816881558796,0.8081935226111602,,,,,6318.877,,6341.674,0.7138615,0.7246748676069003,0.7420403527159829,0.7332548089942841,,,,
gradient_boosting,best,best,C:\Projects\U\Pro_fin3\Models\gradient_boosting\improved\results\best,0.8296739623226159,0.8442767440926988,0.5310937991446799,,,,60.523,,,0.7470754545454545,0.757688059552544,0.7684727711901624,0.7630423099493152,0.7459454545454546,0.7734609866699349,0.7362071805006588,0.7543744308933085
gradient_boosting,final_all_data,final_all_data,C:\Projects\U\Pro_fin3\Models\gradient_boosting\improved\results\final_all_data,0.8295231033769399,0.8443702348992972,0.5147453900336256,,,,121.35,,,0.7470665,0.7576926081764306,0.7685468814710902,0.7630811482438808,0.7466045,0.7651799272928075,0.752969567067263,0.7590256436835116
Logistic_Regression,raw,,C:\Projects\U\Pro_fin3\Models\Logistic_Regression\raw\results,0.6838946030923445,0.6835247844352401,,,,,20.06,,36.811,0.64135,0.639282645786239,0.741953560508791,0.6868022037807293,,,,
Logistic_Regression,improved,,C:\Projects\U\Pro_fin3\Models\Logistic_Regression\improved\results,0.6839315834002664,0.6838555696026682,0.48571234941482544,,,,58.11,,109.296,0.6373375,0.6559185871645457,0.6641132147739205,0.6599904652480794,0.64013,0.6478816678937153,0.7031678212231475,0.6743935651402876
