iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__penalty,param_lr__l1_ratio,param_lr__fit_intercept,param_lr__class_weight,param_lr__C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,40000,0.3506607214609782,0.05971000921614624,0.010803937911987305,0.0004601236857520409,l1,1.0,True,,0.03,"{'lr__penalty': 'l1', 'lr__l1_ratio': 1.0, 'lr__fit_intercept': True, 'lr__class_weight': None, 'lr__C': 0.03}",0.6786710346408955,0.6837627169189516,0.6769366923463904,0.6797901479687458,0.002896890729354671,26,0.6777297057312407,0.678055287605853,0.6870718415324235,0.6809522782898391,0.004329225611989749
0,40000,0.2923896312713623,0.04067176213108508,0.009845574696858725,8.363233793825114e-05,l2,0.8,False,balanced,10.0,"{'lr__penalty': 'l2', 'lr__l1_ratio': 0.8, 'lr__fit_intercept': False, 'lr__class_weight': 'balanced', 'lr__C': 10.0}",0.679901807606599,0.6845466790827951,0.6777088710762558,0.6807191192552166,0.002850719597083966,12,0.6789410603544643,0.6789164494969012,0.6881137022750736,0.6819904040421464,0.004329837361118377
0,40000,0.38932641347249347,0.02794936424661028,0.01115727424621582,0.0007188535906378157,l1,0.2,True,balanced,10.0,"{'lr__penalty': 'l1', 'lr__l1_ratio': 0.2, 'lr__fit_intercept': True, 'lr__class_weight': 'balanced', 'lr__C': 10.0}",0.6799078655724715,0.6845499058681279,0.6777208221740805,0.68072619787156,0.0028473785416150434,9,0.67894058912444,0.6789120560153379,0.6881264117111123,0.6819930189502967,0.004336979256225666
0,40000,0.3685299555460612,0.032525365104878225,0.01230009396870931,0.0010865343075812978,l1,0.5,True,balanced,1.0,"{'lr__penalty': 'l1', 'lr__l1_ratio': 0.5, 'lr__fit_intercept': True, 'lr__class_weight': 'balanced', 'lr__C': 1.0}",0.679891522627226,0.6845489242935687,0.6776851270236778,0.6807085246481575,0.0028610659397265738,13,0.6789255831288139,0.678909225789257,0.6880798969235692,0.68197156861388,0.00431924553171436
0,40000,0.3197200298309326,0.03057516991593964,0.01167138417561849,0.0016787906890231693,l2,0.8,True,balanced,10.0,"{'lr__penalty': 'l2', 'lr__l1_ratio': 0.8, 'lr__fit_intercept': True, 'lr__class_weight': 'balanced', 'lr__C': 10.0}",0.6799140026535698,0.6845498494557971,0.6777084079429753,0.6807240866841141,0.0028511410108642016,10,0.6789466812539166,0.6789096405880946,0.6881166970434502,0.6819910062951537,0.004331543863378258
0,40000,0.3671792348225911,0.0649035724970967,0.010545651117960611,0.0013615450317053766,l1,0.5,False,balanced,0.1,"{'lr__penalty': 'l1', 'lr__l1_ratio': 0.5, 'lr__fit_intercept': False, 'lr__class_weight': 'balanced', 'lr__C': 0.1}",0.6796475538747564,0.6844235760940968,0.6775511233625302,0.6805407511104611,0.002875876980830611,18,0.6786979931357305,0.6787421888370295,0.6878745691742287,0.6817715837156628,0.004315500121314836
0,40000,0.37371619542439777,0.0402335603678968,0.009152571360270182,0.00018749468417037578,l1,1.0,False,,1.0,"{'lr__penalty': 'l1', 'lr__l1_ratio': 1.0, 'lr__fit_intercept': False, 'lr__class_weight': None, 'lr__C': 1.0}",0.6796296964380426,0.6843563100306179,0.6774464891289289,0.6804774985325297,0.0028839189212964194,22,0.6786847253298949,0.6786859821836846,0.6879099931670214,0.6817602335602002,0.004348536750922601
0,40000,0.33723775545756024,0.028461809208659334,0.009590784708658854,0.00041005344884303545,l2,0.0,False,,10.0,"{'lr__penalty': 'l2', 'lr__l1_ratio': 0.0, 'lr__fit_intercept': False, 'lr__class_weight': None, 'lr__C': 10.0}",0.6796766795800798,0.6843562197708883,0.6774775981302609,0.6805034991604098,0.0028684004697786727,19,0.6787211059808177,0.6786990666885071,0.6879440128334002,0.6817880618342418,0.004352923995096652
0,40000,0.3063422044118245,0.05007445466902632,0.009557406107584635,0.00043602016573100695,elasticnet,0.0,False,,0.03,"{'lr__penalty': 'elasticnet', 'lr__l1_ratio': 0.0, 'lr__fit_intercept': False, 'lr__class_weight': None, 'lr__C': 0.03}",0.6785838157553769,0.6837464024728277,0.6766024682609115,0.6796442288297054,0.003011345869895132,28,0.6779139820663962,0.6778974608808719,0.6871021388878259,0.6809711939450313,0.004335237990858675
0,40000,0.3536728223164876,0.06872247211684622,0.010583082834879557,0.0014509596122499815,l1,0.5,False,,30.0,"{'lr__penalty': 'l1', 'lr__l1_ratio': 0.5, 'lr__fit_intercept': False, 'lr__class_weight': None, 'lr__C': 30.0}",0.6796461637072146,0.6843567951766645,0.6774811902371685,0.6804947163736825,0.0028703678093968863,20,0.6787019238149157,0.6787006243004678,0.6879439733543444,0.6817821738232427,0.0043570502650531065
0,40000,0.29471786816914874,0.04680625755398487,0.009932756423950195,0.00024207153890615072,l2,0.8,True,,0.01,"{'lr__penalty': 'l2', 'lr__l1_ratio': 0.8, 'lr__fit_intercept': True, 'lr__class_weight': None, 'lr__C': 0.01}",0.6767812544474059,0.6825953652711971,0.675126993404711,0.6781678710411047,0.003202725273624619,31,0.6765572374611052,0.6764138919234575,0.685669587769005,0.6795469057178559,0.0043297854920221705
