mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
29.781946579615276,0.3470130086881361,0.16157015164693198,0.014573758707274523,2,1,,10,entropy,,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.771099685587312,0.7702737695457753,0.7709722582256439,0.7707819044529104,0.00036305210462807394,74
29.49541727701823,0.2279091143783277,0.16404128074645996,0.029625148087557007,25,1,,10,entropy,,"{'min_samples_split': 25, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.7712748856975269,0.7704888339021569,0.7710402486195032,0.7709346560730624,0.00032947604429758094,72
29.42361092567444,0.15823604426604945,0.1618963877360026,0.02453291241383936,50,1,,10,entropy,,"{'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.7714547020576557,0.7705723374271558,0.771188341172306,0.7710717935523724,0.0003695306447133537,71
29.385304927825928,0.17527853377850405,0.15813819567362467,0.02041148030034216,100,1,,10,entropy,,"{'min_samples_split': 100, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.7717373005024281,0.7708044891632764,0.7713512184586416,0.771297669374782,0.0003826964653605103,69
28.998932600021362,0.23170733956487424,0.12763381004333496,0.026154679402515143,2,50,,10,entropy,,"{'min_samples_split': 2, 'min_samples_leaf': 50, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.7720205330980913,0.7710353040069435,0.7715690962609861,0.7715416444553403,0.00040268622336823545,65
29.276742696762085,0.26967943427741065,0.1515822410583496,0.03942263209600853,25,50,,10,entropy,,"{'min_samples_split': 25, 'min_samples_leaf': 50, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.7720205330980913,0.7710353040069435,0.7715690962609861,0.7715416444553403,0.00040268622336823545,65
29.181045452753704,0.03689578063452819,0.1745611031850179,0.0024480831569927493,50,50,,10,entropy,,"{'min_samples_split': 50, 'min_samples_leaf': 50, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.7720205330980913,0.7710353040069435,0.7715690962609861,0.7715416444553403,0.00040268622336823545,65
29.433595816294353,0.5137708628097679,0.15764689445495605,0.015889630944058833,100,50,,10,entropy,,"{'min_samples_split': 100, 'min_samples_leaf': 50, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.7720205330980913,0.7710353040069435,0.7715690962609861,0.7715416444553403,0.00040268622336823545,65
29.03237009048462,0.4818232035745003,0.13321510950724283,0.013360134144467038,2,100,,10,entropy,,"{'min_samples_split': 2, 'min_samples_leaf': 100, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.7722755158986502,0.7713559667712537,0.7719257421236856,0.7718524082645298,0.0003789688119075223,61
29.053534348805744,0.4860815187844715,0.13107808430989584,0.01251233957415576,25,100,,10,entropy,,"{'min_samples_split': 25, 'min_samples_leaf': 100, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.7722755158986502,0.7713559667712537,0.7719257421236856,0.7718524082645298,0.0003789688119075223,61
29.65171750386556,1.0917562693047642,0.16402888298034668,0.029699926827642612,50,100,,10,entropy,,"{'min_samples_split': 50, 'min_samples_leaf': 100, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.7722755158986502,0.7713559667712537,0.7719257421236856,0.7718524082645298,0.0003789688119075223,61
31.150789340337116,0.8085319803439861,0.18198124567667642,0.01496248005844216,100,100,,10,entropy,,"{'min_samples_split': 100, 'min_samples_leaf': 100, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.7722755158986502,0.7713559667712537,0.7719257421236856,0.7718524082645298,0.0003789688119075223,61
29.949168523152668,0.14767157247357934,0.17178869247436523,0.01800134392132339,2,200,,10,entropy,,"{'min_samples_split': 2, 'min_samples_leaf': 200, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.7724564651226322,0.7713840819857902,0.7717655946313091,0.771868713913244,0.0004438292372642282,56
30.238119681676228,0.6111333727563537,0.1737362543741862,0.0359874257745308,25,200,,10,entropy,,"{'min_samples_split': 25, 'min_samples_leaf': 200, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.7724564651226322,0.7713840819857902,0.7717655946313091,0.771868713913244,0.0004438292372642282,56
30.076927185058594,0.36549265958029437,0.19138161341349283,0.028635214540283394,50,200,,10,entropy,,"{'min_samples_split': 50, 'min_samples_leaf': 200, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.7724564651226322,0.7713840819857902,0.7717655946313091,0.771868713913244,0.0004438292372642282,56
30.54788637161255,0.8472739830928285,0.16840124130249023,0.007285761743377044,100,200,,10,entropy,,"{'min_samples_split': 100, 'min_samples_leaf': 200, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.7724564651226322,0.7713840819857902,0.7717655946313091,0.771868713913244,0.0004438292372642282,56
