iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,10000,0.0930333932240804,0.004072755937468185,0.0038909117380777993,7.53589632423786e-05,50,20,log2,14,entropy,balanced,"{'min_samples_split': 50, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': 14, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.6515928995792477,0.674436059764896,0.6366629231440094,0.6542306274960511,0.015533204626806255,25,0.798148469918505,0.812431723560693,0.7881747854204892,0.7995849929665625,0.009954813269138323
0,10000,0.21561980247497559,0.0015510498118839775,0.004146655400594075,4.524023514263092e-05,2,20,,6,entropy,,"{'min_samples_split': 2, 'min_samples_leaf': 20, 'max_features': None, 'max_depth': 6, 'criterion': 'entropy', 'class_weight': None}",0.703607093197537,0.7016075941033784,0.7197796118547938,0.708331433051903,0.008136137395763125,11,0.7765269974846623,0.7759285866326096,0.7824265599146368,0.7782940480106362,0.0029323215904232757
0,10000,0.20824472109476724,0.001888516011486875,0.004179557164510091,0.0004248039420368805,50,100,,12,entropy,,"{'min_samples_split': 50, 'min_samples_leaf': 100, 'max_features': None, 'max_depth': 12, 'criterion': 'entropy', 'class_weight': None}",0.7200418946494033,0.7040709102260536,0.72213600630011,0.7154162703918557,0.008067805313724077,9,0.7697559068200178,0.7691396356906292,0.7834899496400544,0.774128497383567,0.006624325816720127
0,10000,0.32051873207092285,0.010264330197444283,0.0044968922932942705,0.00047493644556093127,2,5,,10,entropy,,"{'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.6681465229246799,0.6731953586928292,0.6661012211886757,0.6691477009353949,0.002981438667133028,18,0.8990100168471706,0.8973920564827441,0.9017044246096834,0.8993688326465327,0.0017787057652432308
0,10000,0.16202545166015625,0.0016098655688982636,0.0037902196248372397,3.1486501114222325e-05,2,5,0.5,8,entropy,,"{'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': 8, 'criterion': 'entropy', 'class_weight': None}",0.7152411651046463,0.6809557087803293,0.7011971076767765,0.6991313271872507,0.01407299341800555,13,0.8292443118931853,0.8235192039887149,0.8427822518141476,0.8318485892320159,0.008076837179011203
0,10000,0.3626369635264079,0.015632808905989958,0.0038061141967773438,0.00022669281832829786,10,5,,14,entropy,balanced,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': None, 'max_depth': 14, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.6579132130667967,0.6442114241439705,0.6380712638474784,0.6467319670194153,0.008294198353697541,28,0.9599976905045929,0.958477823235275,0.9659558025688258,0.9614771054362312,0.0032271292850064442
0,10000,0.07333151499430339,0.003744522599789175,0.0034749507904052734,0.00011700807243552004,20,50,log2,16,entropy,,"{'min_samples_split': 20, 'min_samples_leaf': 50, 'max_features': 'log2', 'max_depth': 16, 'criterion': 'entropy', 'class_weight': None}",0.6758899904292396,0.6783594603999326,0.6610049803555456,0.6717514770615726,0.007665505596437658,17,0.7477230215269809,0.7681085442056124,0.7500637159655807,0.7552984272327246,0.009108385706150942
0,10000,0.06854653358459473,0.003080337138458908,0.003593603769938151,0.00010768082737782952,50,100,sqrt,12,gini,balanced,"{'min_samples_split': 50, 'min_samples_leaf': 100, 'max_features': 'sqrt', 'max_depth': 12, 'criterion': 'gini', 'class_weight': 'balanced'}",0.6532493634541415,0.66842137246859,0.6795889308398049,0.6670865555875122,0.010794427716665757,20,0.7280841530093277,0.7260831331038812,0.7358664109616695,0.7300112323582928,0.004220059835561462
0,10000,0.07777198155721028,0.0009278974273571424,0.005622148513793945,0.0025673099544183636,5,5,sqrt,12,gini,,"{'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 12, 'criterion': 'gini', 'class_weight': None}",0.6230053993535223,0.6360108602941654,0.6514864773982108,0.6368342456819661,0.011641919208032718,31,0.8868660410181973,0.8665306098520107,0.8666450975656356,0.8733472494786145,0.00955934343551426
0,10000,0.17677203814188638,0.006161868727491069,0.003544410069783529,4.291902337963468e-05,20,5,0.5,10,entropy,,"{'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.6941705039998556,0.6680777380608747,0.6675547589622174,0.6766010003409826,0.012425349650312268,16,0.8832065150249082,0.8650374122417761,0.880457808675465,0.8762339119807164,0.007996251265517505
0,10000,0.07905014355977376,0.0045006023745900944,0.0034197171529134116,7.307865440370631e-05,2,10,sqrt,10,gini,,"{'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': None}",0.6511125557541939,0.6400239675956372,0.6572597703410319,0.6494654312302877,0.007132226789602203,27,0.8145048275977088,0.7925780714476408,0.7947244171836643,0.8006024387430046,0.00986944820832414
0,10000,0.09108312924702962,0.0013627955001558922,0.003670930862426758,0.00012775454388720724,10,5,log2,14,entropy,,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 14, 'criterion': 'entropy', 'class_weight': None}",0.6335825342651281,0.6339485112672296,0.648302976570562,0.6386113407009733,0.006854649962521378,30,0.9161683531512149,0.8867060721836194,0.8937012216883018,0.898858549007712,0.01256861219501545
