precision,recall
0.5300015,1.0
0.531324299246725,0.9999339624510497
0.5313781374001408,0.9999330190574932
0.5319065118802256,0.999921698334816
0.5319433828463254,0.9999207549412596
0.5320150039979541,0.9999188681541468
0.53203826963427,0.9999179247605903
0.5320593684757952,0.9999179247605903
0.5320759282323287,0.9999179247605903
0.5320917521094631,0.9999160379734774
0.5321046385303857,0.9999141511863646
0.5321988469352197,0.9999094342185824
0.5322116741333478,0.9999094342185824
0.5322277413666009,0.999908490825026
0.5322540552022743,0.9998971701023488
0.5322651113552863,0.9998943399216794
0.5322782416723708,0.999893396528123
0.5322911702061944,0.9998905663474538
0.5323002918424242,0.9998896229538973
0.5323108154395213,0.999886792773228
0.532324515341959,0.9998849059861151
0.5323387507496286,0.9998830191990022
0.5323778553331364,0.9998811324118894
0.5324530679173851,0.9998716984763251
0.5325545649551215,0.9998688682956558
0.532572325018253,0.9998660381149864
0.5326896641846369,0.9998632079343172
0.5327084389888633,0.9998622645407608
0.5327251058936002,0.9998603777536479
0.5328954215864278,0.9998462268503013
0.5329154156708564,0.9998415098825192
0.5329420449311189,0.9998386797018499
0.5329603022065058,0.9998377363082934
0.5329738357649624,0.9998339627340678
0.533059383008206,0.9998330193405113
0.5332044368173126,0.9998264155856162
0.5332173470296454,0.9998254721920599
0.5332308947826275,0.9998216986178341
0.5332435046083344,0.9998216986178341
0.5332551421755759,0.9998188684371648
0.5332857986060617,0.999816981650052
0.5333968159380259,0.9998122646822698
0.5334134944474419,0.9998113212887133
0.5334291000678487,0.9998103778951569
0.5334455458202946,0.999808491108044
0.5334928085150081,0.9998009439595925
0.5335111722365918,0.9997981137789232
0.5335295035668078,0.9997962269918104
0.533559723096287,0.9997924534175847
0.5335820876735696,0.9997905666304718
0.5336071091758378,0.9997820760884639
0.5336222570998559,0.9997792459077947
0.5336370695098629,0.9997783025142382
0.5336494642693488,0.9997773591206818
0.5337367819866354,0.9997707553657867
0.533800028106456,0.9997688685786739
0.5339477201834192,0.999760378036666
0.5339868345735547,0.9997575478559967
0.5339988793350183,0.999751887494658
0.534016306703083,0.9997462271333194
0.5341003189809543,0.9997377365913115
0.5341150273655073,0.9997330196235293
0.5341310139808326,0.9997301894428601
0.5341452829684634,0.9997301894428601
0.5341645369908311,0.9997264158686343
0.5341796845464032,0.9997245290815214
0.5342517273453707,0.9997207555072958
0.5342700778687801,0.9997198121137393
0.5342886990683646,0.9997188687201829
0.5342995091138638,0.9997179253266264
0.5344693234747478,0.9997094347846185
0.5345665335904056,0.9996981140619413
0.5345763464293641,0.999695283881272
0.5346260066374249,0.9996943404877155
0.5346417212234716,0.9996924537006028
0.5346894454754718,0.9996858499457077
0.5347126487821912,0.9996858499457077
0.5347727655812048,0.9996801895843691
0.5348211487282085,0.9996783027972562
0.5348938399831202,0.9996764160101433
0.5349859393853719,0.9996688688616919
0.5350207970852776,0.9996613217132404
0.5353218503807723,0.9996339633001039
0.53533362265434,0.9996301897258781
0.5353461355218545,0.9996283029387653
0.5353657532246338,0.9996245293645395
0.5353847957270351,0.9996216991838702
0.5356212918446236,0.9996084916740802
0.5356362919451213,0.9996056614934109
0.5356869489953883,0.9995981143449594
0.5356965363406417,0.9995952841642901
0.5357111618836908,0.9995952841642901
0.5357231518301577,0.9995933973771772
0.5357503841531213,0.9995896238029515
0.5357920510203978,0.9995839634416129
0.5358137991927091,0.9995820766545
0.5358484306434051,0.9995764162931614
0.5358596504714529,0.9995735861124921
0.5359215758079111,0.9995632087833713
0.5359408226317823,0.9995632087833713
0.535954757791812,0.9995603786027021
0.5359699765840422,0.9995594352091456
0.5359983204712798,0.9995556616349199
0.5366977635756852,0.9994924542666389
0.5367851884428348,0.9994820769375181
0.5368000616121092,0.999477359969736
0.5368221679377245,0.9994754731826231
0.536840937144664,0.9994754731826231
0.536860635875233,0.9994726430019538
0.5368761804183451,0.9994716996083973
0.5368872127336,0.9994679260341716
0.5369068777325219,0.9994660392470587
0.5369191597708466,0.9994650958535023
0.5369425996204934,0.9994641524599459
0.5369737370296933,0.9994613222792765
0.5369851584940644,0.9994547185243815
0.5370001662564323,0.9994537751308251
0.5370971045469847,0.9994396242274786
0.5371067855927893,0.9994358506532529
0.5371188426576813,0.99943396386614
0.537158172648133,0.9994311336854707
0.5371691426827172,0.9994292468983579
0.537190774108033,0.9994264167176885
0.5372047043455817,0.9994254733241321
0.5372192934236922,0.9994216997499064
0.5374271758959571,0.9994028318787777
0.5374422028513768,0.9993952847303262
0.537457237497977,0.9993943413367699
0.5374989979227828,0.9993933979432134
0.5375200360051897,0.999392454549657
0.5375384624752378,0.9993886809754312
0.5375549046830346,0.9993867941883183
0.5375734921735212,0.9993858507947619
0.5377042922825003,0.9993632093494075
0.537740705056291,0.9993537754138432
0.5377582525582855,0.9993518886267303
0.5380122394519927,0.9993188698522552
0.5380285166892522,0.9993150962780294
0.5380445990383707,0.9993094359166907
0.5380624410453133,0.999307549129578
0.5381164780232062,0.9992896246520057
0.5381315913941458,0.9992877378648929
0.5381501415941253,0.9992820775035542
0.538174280183517,0.9992801907164414
0.5381868972167941,0.999279247322885
0.5386938123671281,0.9992132097739346
0.5387107225489532,0.9992084928061524
0.5387196088035477,0.9992056626254832
0.5387431369896042,0.9992000022641445
0.5387572313581906,0.9991971720834752
0.5387720698462404,0.9991962286899188
0.5387929017200367,0.9991896249350237
0.5388238777480787,0.9991830211801287
0.5388435386262983,0.9991783042123465
0.5388597161119373,0.9991717004574515
0.538882200958788,0.9991650967025565
0.5389022201055099,0.9991584929476615
